Restaurant Name,Types of Food,Price,Discount,Rating,Discount_Percentage,Coupon_Code
Hotel Niagara,"Haleem, Biryani, North Indian",350.0,50% off | Use TRYNEW,3.7,20.0,TRYNEW
Mehfil,"Biryani, North Indian, Tandoor, Chinese, Kebabs",300.0,10% off | Use TRYNEW,3.9,20.0,TRYNEW
Lucky Restaurant,"Biryani, North Indian, Tandoor",300.0,30% off | Use TRYNEW,3.8,20.0,TRYNEW
Bawarchi,"Biryani, Tandoor, Chinese, Indian, Desserts, Kebabs, Mughlai",300.0,,4.0,20.0,
CAPITAL MULTICUISINE RESTAURANT,"Haleem, Biryani, North Indian",350.0,50% off | Use TRYNEW,3.7,20.0,TRYNEW
Grand Hotel,"Biryani, Chinese, Tandoor, Haleem",300.0,10% off | Use TRYNEW,4.1,20.0,TRYNEW
Meridian Restaurant,"Biryani, Chinese, North Indian, Kebabs",400.0,,4.1,20.0,
Cafe Niloufer,"Bakery, Beverages, Snacks, Desserts",400.0,10% off | Use PARTY,4.5,20.0,PARTY
Lucky Multicuisine Restaurant,"Biryani, North Indian, Tandoor, South Indian",350.0,FLAT125 off | Use FLATDEAL,3.7,20.0,FLATDEAL
4M Biryani House,"Biryani, North Indian, Chinese",250.0,30% off | Use TRYNEW,4.1,20.0,TRYNEW
Leon's - Burgers & Wings (Leon Grill),"American, Snacks, Turkish, Portuguese, Continental",300.0,60% off | Use TRYNEW,4.1,20.0,TRYNEW
Shah Ghouse Cafe & Restaurant,"Biryani, Chinese, Tandoor, Mughlai, North Indian",350.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
KFC,"Burgers, Biryani, American, Snacks, Fast Food",400.0,20% off | Use SWIGGYIT,4.0,20.0,SWIGGYIT
Cafe Bahar since 1973,"Biryani, Chinese, Indian, Kebabs, Tandoor",300.0,,4.0,20.0,
Hilton Restaurant,"North Indian, Chinese, Biryani",300.0,,4.1,20.0,
Subbayya Gari Hotel,"South Indian, Andhra, Sweets",300.0,10% off | Use TRYNEW,4.0,20.0,TRYNEW
Srikanya,"Andhra, Seafood",250.0,,4.1,20.0,
Pista House Bakery & Restaurant,"North Indian, Chinese, Bakery, Biryani",300.0,40% off | Use TRYNEW,4.2,20.0,TRYNEW
