Restaurant Name,Types of Food,Rating1,Ratings2,Price,Discount
Hotel Niagara,"Haleem, Biryani, North Indian",,3.7,₹350 FOR TWO,50% off | Use TRYNEW
Mehfil,"Biryani, North Indian, Tandoor, Chinese, Kebabs",,3.9,₹300 FOR TWO,10% off | Use TRYNEW
Lucky Restaurant,"Biryani, North Indian, Tandoor",,3.8,₹300 FOR TWO,30% off | Use TRYNEW
Bawarchi,"Biryani, Tandoor, Chinese, Indian, Desserts, Kebabs, Mughlai",4.0,,₹300 FOR TWO,
CAPITAL MULTICUISINE RESTAURANT,"Haleem, Biryani, North Indian",,3.7,₹350 FOR TWO,50% off | Use TRYNEW
Grand Hotel,"Biryani, Chinese, Tandoor, Haleem",4.1,,₹300 FOR TWO,10% off | Use TRYNEW
Meridian Restaurant,"Biryani, Chinese, North Indian, Kebabs",4.1,,₹400 FOR TWO,
Cafe Niloufer,"Bakery, Beverages, Snacks, Desserts",4.5,,₹400 FOR TWO,10% off | Use PARTY
Lucky Multicuisine Restaurant,"Biryani, North Indian, Tandoor, South Indian",,3.7,₹350 FOR TWO,FLAT125 off | Use FLATDEAL
4M Biryani House,"Biryani, North Indian, Chinese",4.1,,₹250 FOR TWO,30% off | Use TRYNEW
Leon's - Burgers & Wings (Leon Grill),"American, Snacks, Turkish, Portuguese, Continental",4.1,,₹300 FOR TWO,60% off | Use TRYNEW
Shah Ghouse Cafe & Restaurant,"Biryani, Chinese, Tandoor, Mughlai, North Indian",4.1,,₹350 FOR TWO,20% off | Use TRYNEW
KFC,"Burgers, Biryani, American, Snacks, Fast Food",4.0,,₹400 FOR TWO,20% off | Use SWIGGYIT
Cafe Bahar since 1973,"Biryani, Chinese, Indian, Kebabs, Tandoor",4.0,,₹300 FOR TWO,
Hilton Restaurant,"North Indian, Chinese, Biryani",4.1,,₹300 FOR TWO,
Subbayya Gari Hotel,"South Indian, Andhra, Sweets",4.0,,₹300 FOR TWO,10% off | Use TRYNEW
Srikanya,"Andhra, Seafood",4.1,,₹250 FOR TWO,
Pista House Bakery & Restaurant,"North Indian, Chinese, Bakery, Biryani",4.2,,₹300 FOR TWO,40% off | Use TRYNEW
Kritunga Restaurant,"Biryani, Andhra, Rayalaseema, South Indian, North Indian, Chinese",,3.9,₹500 FOR TWO,20% off | Use TRYNEW
Cafe 555 & Aqeeq Restaurant,"Biryani, North Indian, Chinese",4.1,,₹300 FOR TWO,
Andhra Meals,South Indian,4.1,,₹200 FOR TWO,10% off | Use PARTY
Santosh Dhaba Exclusive,"North Indian, Biryani, Chinese, Italian, Mexican, Desserts",4.0,,₹300 FOR TWO,40% off | Use GUILTFREE
Sri Abhiruchi Biryani & Chinese Fast Food,Biryani,4.1,,₹400 FOR TWO,
Paradise Biryani,"Biryani, Kebabs, North Indian, Hyderabadi",,3.8,₹400 FOR TWO,FLAT125 off | Use FLATDEAL
AB's - Absolute Barbecues,"Barbecue, Biryani, North Indian, Grill, Chinese, Mughlai, Seafood, Kebabs, Pan-A...",,3.7,₹400 FOR TWO,50% off | Use TRYNEW
Sarvi Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor, Desserts",4.1,,₹400 FOR TWO,20% off | Use TRYNEW
Crystal Restaurant,"Biryani, North Indian, Chinese",,3.8,₹350 FOR TWO,50% off | Use TRYNEW
Pista House Bakery,"Italian-American, Fast Food, Snacks, Continental",4.0,,₹200 FOR TWO,40% off | Use TRYNEW
Hotel Shadab,"Biryani, North Indian, Chinese",4.0,,₹400 FOR TWO,15% off | Use PARTY
Red Bucket Biryani,Biryani,,3.3,₹500 FOR TWO,
Imperial Multi Cuisine Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor",4.1,,₹400 FOR TWO,
Burger King,"Burgers, American",4.1,,₹350 FOR TWO,60% off | Use STEALDEAL
Papadams Blue,"Biryani, Chinese, Andhra, North Indian, South Indian, Tandoor",,3.9,₹500 FOR TWO,40% off | Use TRYNEW
Shahi Dastarkhwan,"North Indian, Chinese, Kebabs, Biryani, Desserts",,3.9,₹500 FOR TWO,60% off | Use TRYNEW
Azam Hotel,"Biryani, North Indian, Mughlai, Tandoor",4.1,,₹300 FOR TWO,30% off | Use TRYNEW
Swathi mess and dhaba,"Biryani, Chinese, Hyderabadi, North Indian, Indian",4.0,,₹200 FOR TWO,15% off | Use PARTY
NIC Ice Creams,"Ice Cream, Desserts",4.4,,₹120 FOR TWO,Get every item under 159
Srikanya Comfort,"Andhra, Biryani, Chinese, North Indian",4.1,,₹500 FOR TWO,
La Pino'z Pizza,"Pizzas, Italian, Pastas, Mexican, Desserts",,3.9,₹400 FOR TWO,
Balaji Santosh Family Dhaba,"North Indian, Tandoor, Chinese",4.1,,₹300 FOR TWO,40% off | Use GUILTFREE
Papaji Da Dhaba,"North Indian, Chinese, Tandoor",4.0,,₹200 FOR TWO,FLAT100 off | Use FLATDEAL
Bahar Biryani Cafe,"Biryani, North Indian, Chinese",,3.5,₹350 FOR TWO,50% off | Use TRYNEW
A-1 Chicken Pakoda,"Biryani, Kebabs, Indian, Chinese, Mughlai",4.0,,₹250 FOR TWO,10% off | Use TRYNEW
Kamath Hotel,South Indian,4.4,,₹200 FOR TWO,20% off | Use TRYNEW
Food zone 2,"Mughlai, Chinese, Tandoor",,3.8,₹300 FOR TWO,
Utsav Vegetarian,"North Indian, Chinese, Biryani, Indian",4.2,,₹300 FOR TWO,FLAT125 off | Use FLATDEAL
Akson Restaurant,"North Indian, Biryani, Kerala",4.2,,₹250 FOR TWO,
Santosh Family Dhaba,"North Indian, Biryani, Chinese, Tandoor, Indian",,3.9,₹300 FOR TWO,50% off | Use TRYNEW
Shree Santosh Family Dhaba,"North Indian, Chinese, Tandoor, Biryani, Beverages, Indian",,3.9,₹200 FOR TWO,50% off | Use TRYNEW
Pista House Restaurant,"Biryani, Tandoor, North Indian",4.1,,₹500 FOR TWO,30% off | Use TRYNEW
Hotel Swagath,South Indian,4.2,,₹200 FOR TWO,30% off | Use TRYNEW
Just parantha,North Indian,4.3,,₹200 FOR TWO,FLAT125 off | Use FLATDEAL
Sahara Bakers,"Bakery, Pizzas",,3.4,₹200 FOR TWO,50% off | Use TRYNEW
Kamat Hotel,"North Indian, South Indian",4.3,,₹500 FOR TWO,20% off | Use TRYNEW
Amantran Bengali Restaurant,"Bengali, North Indian, Chinese, Home Food, Thalis, Beverages",,3.9,₹200 FOR TWO,FLAT125 off | Use FLATDEAL
Cream Stone Ice Cream,"Ice Cream, Desserts, Beverages, Ice Cream Cakes",4.3,,₹250 FOR TWO,30% off | Use SPECIALS
Pista House,"Bakery, Pizzas, Haleem",4.2,,₹200 FOR TWO,40% off | Use TRYNEW
Hotel City Diamond,"Biryani, Hyderabadi",4.1,,₹300 FOR TWO,
McDonald's,"Burgers, Beverages, Cafe, Desserts",4.1,,₹400 FOR TWO,30% off | Use TRYNEW
Cafe Niloufer Classic,"Bakery, Beverages, Snacks, Desserts",4.4,,₹150 FOR TWO,10% off | Use PARTY
Amfah Hotel,"Biryani, North Indian, Chinese",,3.9,₹200 FOR TWO,30% off | Use TRYNEW
Mr. Pulao,"Andhra, South Indian, Biryani",,3.5,₹200 FOR TWO,30% off | Use TRYNEW
Sri Sai Raghavendra Udupi Veg,"South Indian, Juices, Ice Cream",4.2,,₹100 FOR TWO,40% off | Use TRYNEW
Zee N Cafe,"Italian-American, Fast Food, Snacks",,,₹300 FOR TWO,
Rolls & Bowls By FEEDX,"North Indian, Snacks, Salads, Beverages, Indian, Pastas",,3.6,₹200 FOR TWO,
FISH OH FISH,"Biryani, Tandoor, Mughlai",,3.8,₹400 FOR TWO,
SRI VAIBHAV TIFFINS,South Indian,4.3,,₹200 FOR TWO,
Naintara ( By Sri Narsingh Bhelpuri ),"North Indian, Italian-American, Fast Food, Snacks",4.2,,₹300 FOR TWO,20% off | Use TRYNEW
Madhur Sweets,"Sweets, Desserts, Snacks",4.5,,₹250 FOR TWO,10% off | Use TRYNEW
Starboy Pizza & Shakes,"Pizzas, Italian, Desserts, Beverages",,3.8,₹300 FOR TWO,Flat ₹125 off on orders above ₹249
